,0,1,2
84,China,Xinjiang,"[0.2, 1.0, 384.946508327886, 1591.1569741128199, 55.13168881293604, '2020-02-25', 32]"
85,China,Yunnan,"[0.21066666666666667, 4.0, 893.8479031771543, 3707.6656667821517, 132.2427560276852, '2020-02-19', 26]"
86,China,Zhejiang,"[0.24266666666666667, 4.0, 6375.024171996676, 25915.05658351845, 984.3285044473914, '2020-02-19', 26]"
87,Colombia,0,"[0.25333333333333335, 1.0, 2542.551310473902, 11475.601003567144, 136.21045391342435, '2020-02-19', 43]"
88,Congo (Brazzaville),0,"[0.2, 1.0, 56.07551308325296, 279.4536907929743, 7.967300811948685, '2020-02-27', 35]"
89,Congo (Kinshasa),0,"[0.21066666666666667, 1.0, 245.437075821823, 1123.8703682734235, 11.925743880590137, '2020-02-21', 41]"
90,Costa Rica,0,"[0.232, 1.0, 813.953788298411, 3627.541456663714, 65.82889194422843, '2020-02-21', 41]"
91,Cote d'Ivoire,0,"[0.22133333333333333, 1.0, 468.2199022638214, 2149.6972039688703, 15.456618346834473, '2020-02-19', 43]"
92,Croatia,0,"[0.24266666666666667, 1.0, 1988.9846788145217, 8717.215114278999, 158.8155715465137, '2020-02-19', 43]"
93,Cuba,0,"[0.232, 1.0, 562.9023822492376, 2589.2260872963475, 16.963512171488368, '2020-02-22', 40]"
94,Cyprus,0,"[0.232, 1.0, 732.4891839707268, 3304.2209317763413, 44.739848817778515, '2020-02-21', 41]"
95,Czechia,0,"[0.27466666666666667, 1.0, 7514.506647828943, 33725.92177669088, 824.2764128770535, '2020-02-19', 43]"
96,Denmark,Faroe Islands,"[0.21066666666666667, 1.0, 345.637406644122, 1554.075839188695, 38.09545099016148, '2020-02-19', 43]"
97,Denmark,Greenland,"[0.2, 1.0, 10.787801397053235, 81.4840479758665, 17.196218974409355, '2020-02-27', 35]"
98,Denmark,0,"[0.27466666666666667, 1.0, 7886.975397431684, 35188.019884859146, 863.7544255222609, '2020-02-19', 43]"
99,Diamond Princess,0,"[0.296, 1.0, 3390.032935845792, 14540.265566929487, 470.4789414557153, '2020-02-19', 43]"
100,Djibouti,0,"[0.21066666666666667, 1.0, 149.12471771929998, 682.9529154621684, 12.899696865820275, '2020-02-25', 37]"
101,Dominica,0,"[0.2, 1.0, 13.854254255779438, 102.94465562464103, 16.29825003314184, '2020-02-27', 35]"
102,Dominican Republic,0,"[0.25333333333333335, 1.0, 2768.704785129036, 12371.949967949831, 166.71327960859125, '2020-02-19', 43]"
103,Ecuador,0,"[0.27466666666666667, 1.0, 6368.535825725822, 29217.567139437986, 487.06806408719217, '2020-02-19', 43]"
104,Egypt,0,"[0.25333333333333335, 1.0, 2270.6783921064402, 10068.52360785611, 158.95125945960123, '2020-02-21', 41]"
105,El Salvador,0,"[0.2, 1.0, 109.58245886903165, 500.4610920087611, 6.012964520354233, '2020-02-24', 38]"
106,Equatorial Guinea,0,"[0.2, 1.0, 20.57110022242075, 140.02674563622358, 14.505041898113356, '2020-02-27', 35]"
107,Eritrea,0,"[0.2, 1.0, 33.9499005242205, 183.4926158000816, 12.550368781971455, '2020-02-27', 35]"
108,Estonia,0,"[0.24266666666666667, 1.0, 1854.3812854529301, 8185.249934476861, 174.15777666229187, '2020-02-19', 43]"
109,Eswatini,0,"[0.2, 1.0, 7.725120327484894, 77.79725168821525, 17.41965060677534, '2020-02-27', 35]"
110,Ethiopia,0,"[0.2, 1.0, 78.62358224069855, 370.0427350128456, 3.678801919956758, '2020-02-27', 35]"
111,Fiji,0,"[0.2, 1.0, 6.663986279779119, 77.2877049884061, 17.503568494026357, '2020-02-27', 35]"
112,Finland,0,"[0.25333333333333335, 1.0, 3729.493968783512, 16159.233108309883, 326.288510242603, '2020-02-19', 43]"
113,France,French Guiana,"[0.2, 1.0, 117.0954682386345, 540.5388264905033, 5.3524529351344174, '2020-02-24', 38]"
114,France,French Polynesia,"[0.2, 1.0, 85.53726900576542, 397.2204324770683, 7.420928165154762, '2020-02-27', 35]"
115,France,Guadeloupe,"[0.2, 1.0, 236.18285863386188, 1042.646105835116, 20.454678775060575, '2020-02-19', 43]"
116,France,Martinique,"[0.2, 1.0, 243.39940120815425, 1077.0697446657318, 18.7030634606505, '2020-02-19', 43]"
117,France,Mayotte,"[0.21066666666666667, 1.0, 222.91172272961543, 1015.2536327345334, 12.70227361183436, '2020-02-22', 40]"
118,France,New Caledonia,"[0.2, 1.0, 22.940336175861038, 146.10831258170052, 14.258254489754266, '2020-02-27', 35]"
119,France,Reunion,"[0.22133333333333333, 1.0, 498.0375862884862, 2274.7259802663307, 41.80356198349751, '2020-02-19', 43]"
120,France,Saint Barthelemy,"[0.2, 1.0, 10.848107184514387, 51.1784374898069, 18.341089535685494, '2020-02-27', 35]"
121,France,St Martin,"[0.2, 1.0, 37.542812736171534, 209.7621121623519, 11.071374980943908, '2020-02-27', 35]"
122,France,0,"[0.296, 1.0, 166026.56953537514, 665346.6259941551, 27429.071255276853, '2020-02-19', 43]"
123,Gabon,0,"[0.2, 1.0, 39.19246323888288, 213.1511776101905, 11.059389810354654, '2020-02-27', 35]"
124,Gambia,0,"[0.2, 1.0, 10.481366063239546, 26.43708162583421, 19.86800428951569, '2020-02-27', 35]"
125,Georgia,0,"[0.21066666666666667, 1.0, 307.60694143647885, 1409.933252273428, 16.629360649357956, '2020-02-19', 43]"
126,US,Georgia,"[0.2853333333333333, 1.0, 10960.118785733508, 50072.79169074683, 782.0675052061142, '2020-02-19', 43]"
127,US,Alabama,"[0.264, 1.0, 3017.6756556943205, 13706.143219737507, 154.49784479584966, '2020-02-21', 41]"
128,US,Alaska,"[0.21066666666666667, 1.0, 272.50005708708323, 1255.572294685907, 15.26685546998096, '2020-02-19', 43]"
129,US,Arizona,"[0.264, 1.0, 3662.924227864154, 16255.665664603985, 266.52660011957533, '2020-02-21', 41]"
130,US,Arkansas,"[0.24266666666666667, 1.0, 1308.2942172370601, 6023.238255696867, 90.81225346274498, '2020-02-19', 43]"
131,US,California,"[0.296, 1.0, 22786.200622880675, 101497.78199148331, 2060.2403542462894, '2020-02-19', 43]"
132,US,Colorado,"[0.27466666666666667, 1.0, 7043.839398954059, 31853.107003115278, 587.8688188188991, '2020-02-19', 43]"
133,US,Connecticut,"[0.2853333333333333, 1.0, 9191.263759845708, 43092.88186399357, 615.252529142947, '2020-02-19', 43]"
134,US,Delaware,"[0.25333333333333335, 1.0, 1251.750894899087, 5777.425011181818, 30.041354412412378, '2020-02-23', 39]"
135,US,District of Columbia,"[0.25333333333333335, 1.0, 1607.3004466133311, 7440.711537350796, 71.79940353553224, '2020-02-21', 41]"
136,US,Florida,"[0.296, 1.0, 27648.292611876786, 120623.16845483771, 2814.8865227110714, '2020-02-19', 43]"
137,US,Guam,"[0.2, 1.0, 155.8453245470407, 725.4767741784904, 9.743016294163382, '2020-02-19', 43]"
138,US,Hawaii,"[0.22133333333333333, 1.0, 518.7114102809776, 2358.1941278875865, 29.587155227614534, '2020-02-19', 43]"
139,US,Idaho,"[0.24266666666666667, 1.0, 1350.7643210973588, 6176.502365703207, 89.33058601175546, '2020-02-19', 43]"
140,US,Illinois,"[0.296, 1.0, 18879.503752552457, 82581.07155881719, 1410.0475723951197, '2020-02-21', 41]"
141,US,Indiana,"[0.27466666666666667, 1.0, 6541.814616084383, 29878.79606863849, 401.7438812327369, '2020-02-19', 43]"
142,US,Iowa,"[0.24266666666666667, 1.0, 1359.4021037401533, 6228.394732732783, 53.50182571429519, '2020-02-19', 43]"
143,US,Kansas,"[0.24266666666666667, 1.0, 1250.1646954322443, 5601.362147723519, 62.1338511617261, '2020-02-21', 41]"
144,US,Kentucky,"[0.24266666666666667, 1.0, 1605.6939079397077, 7198.124249306221, 67.7978628601263, '2020-02-19', 43]"
145,US,Louisiana,"[0.296, 1.0, 18368.319080384277, 83989.44676914431, 1539.6652361569418, '2020-02-19', 43]"
146,US,Maine,"[0.232, 1.0, 755.3243906289736, 3387.3697630302872, 50.02029618242378, '2020-02-21', 41]"
147,US,Maryland,"[0.27466666666666667, 1.0, 5914.264961834562, 27407.608053475524, 231.00409765809894, '2020-02-19', 43]"
148,US,Massachusetts,"[0.296, 1.0, 20234.972898174794, 91386.38489043785, 1328.7522553760423, '2020-02-19', 43]"
149,US,Michigan,"[0.296, 1.0, 23113.87498314368, 102723.61111218962, 1928.2466536687355, '2020-02-19', 43]"
150,US,Minnesota,"[0.24266666666666667, 1.0, 1561.4616763505915, 7023.995763932795, 93.08919217261035, '2020-02-19', 43]"
151,US,Mississippi,"[0.25333333333333335, 1.0, 2574.258083408496, 11584.791979807673, 149.02046698356935, '2020-02-19', 43]"
152,US,Missouri,"[0.264, 1.0, 3665.706354167344, 16852.635230931526, 232.21828139183572, '2020-02-19', 43]"
153,US,Montana,"[0.22133333333333333, 1.0, 442.506341003708, 1997.207035808848, 27.673456638528908, '2020-02-21', 41]"
154,US,Nebraska,"[0.232, 1.0, 617.1409022184109, 2849.588524469325, 12.658453509649856, '2020-02-21', 41]"
155,US,Nevada,"[0.25333333333333335, 1.0, 2859.525207795991, 12720.440049136365, 188.33008203810903, '2020-02-19', 43]"
156,US,New Hampshire,"[0.232, 1.0, 895.7821803960575, 4052.9947895235605, 42.64486474610097, '2020-02-19', 43]"
157,US,New Jersey,"[0.296, 1.0, 61334.80506264029, 253181.13681024866, 8092.953684993458, '2020-02-19', 43]"
158,US,New Mexico,"[0.24266666666666667, 1.0, 1028.8300410210238, 4732.806518502117, 39.48369766800282, '2020-02-21', 41]"
159,US,New York,"[0.296, 1.0, 222282.05345379285, 886732.3226785302, 37848.95517369454, '2020-02-19', 43]"
160,US,North Carolina,"[0.264, 1.0, 4229.946262834644, 19108.177221065598, 272.40982948196415, '2020-02-19', 43]"
161,US,North Dakota,"[0.21066666666666667, 1.0, 312.20318487094295, 1412.4711890808042, 14.678385686361317, '2020-02-19', 43]"
162,US,Ohio,"[0.27466666666666667, 1.0, 5890.551162010894, 27312.102732807867, 470.38234673989865, '2020-02-19', 43]"
163,US,Oklahoma,"[0.25333333333333335, 1.0, 1841.5705930761353, 8361.732923389045, 106.28876988780459, '2020-02-21', 41]"
164,US,Oregon,"[0.24266666666666667, 1.0, 1613.7682446084807, 7229.861087935366, 107.38694776446049, '2020-02-19', 43]"
165,US,Pennsylvania,"[0.296, 1.0, 17629.295712470874, 81168.59625092035, 1145.322624901627, '2020-02-19', 43]"
166,US,Puerto Rico,"[0.24266666666666667, 1.0, 763.5085442723241, 3473.2090152314513, 32.83118042316776, '2020-02-24', 38]"
167,US,Rhode Island,"[0.25333333333333335, 1.0, 1771.1366910209938, 8087.870446052622, 40.9085064882414, '2020-02-21', 41]"
168,US,South Carolina,"[0.264, 1.0, 3211.470543411644, 14477.919489346741, 205.03531254365703, '2020-02-21', 41]"
169,US,South Dakota,"[0.24266666666666667, 1.0, 532.2906203756532, 2464.938693981174, 9.861004926647261, '2020-02-26', 36]"
170,US,Tennessee,"[0.264, 1.0, 5836.5625989627815, 25430.845624735175, 470.0367767493211, '2020-02-19', 43]"
171,US,Texas,"[0.2853333333333333, 1.0, 11489.699196422886, 52203.91949021765, 762.674117653518, '2020-02-19', 43]"
172,US,Utah,"[0.25333333333333335, 1.0, 2236.0960519388987, 10263.535136914836, 159.57087644785048, '2020-02-19', 43]"
173,US,Vermont,"[0.232, 1.0, 712.7656008304169, 3326.4284569315623, 45.68483357490523, '2020-02-19', 43]"
174,US,Virgin Islands,"[0.2, 1.0, 67.59283519337525, 322.1798730973516, 6.756253441037, '2020-02-27', 35]"
175,US,Virginia,"[0.264, 1.0, 4235.034629185066, 19127.69394226991, 178.47030376754833, '2020-02-19', 43]"
176,US,Washington,"[0.2853333333333333, 1.0, 13044.773778732319, 58305.368686986796, 1479.2825818141566, '2020-02-19', 43]"
