ID,COUNTRY,ISO,ADMIN_LEVEL_NAME,PCODE,REGION,LOG_TYPE,CATEGORY,MEASURE,TARGETED_POP_GROUP,NON_COMPLIANCE,DATE_IMPLEMENTED
2328,Romania,ROU,,,Europe,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Not applicable,22/03/2020
2329,Romania,ROU,,,Europe,Introduction / extension of measures,Movement restrictions,Curfews,No,Not available,22/03/2020
2351,Romania,ROU,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,Not available,22/03/2020
3121,Romania,ROU,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,25/03/2020
3122,Romania,ROU,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,25/03/2020
3123,Romania,ROU,,,Europe,Introduction / extension of measures,Governance and socio-economic measures,Military deployment,Yes,,25/03/2020
667,Russian Federation,RUS,Moscow,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,05/03/2020
801,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,,13/03/2020
634,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,,15/03/2020
635,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,,16/03/2020
636,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,16/03/2020
680,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,16/03/2020
753,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure,Yes,Not applicable,16/03/2020
1400,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Visa restrictions,No,Not applicable,18/03/2020
1401,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Border checks,Yes,,18/03/2020
1402,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,,20/03/2020
1403,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,21/03/2020
2353,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,International flights suspension,Yes,Not applicable,23/03/2020
2352,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Visa restrictions,Yes,Not applicable,24/03/2020
2354,Russian Federation,RUS,Moscow,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not available,26/03/2020
3124,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not available,30/03/2020
3125,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,Not available,30/03/2020
3126,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Movement restrictions,Border closure,No,,30/03/2020
3127,Russian Federation,RUS,,,Europe,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,30/03/2020
1814,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,No,,27/02/2020
1815,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,27/02/2020
1816,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,27/02/2020
1817,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Awareness campaigns,No,,27/02/2020
1819,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Strengthening the public health system,No,,06/03/2020
1820,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,08/03/2020
1821,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,Yes,,08/03/2020
1822,Rwanda,RWA,,,Africa,Introduction / extension of measures,Movement restrictions,Surveillance and monitoring,Yes,,08/03/2020
1823,Rwanda,RWA,Kigali,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,,08/03/2020
681,Rwanda,RWA,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,No,,14/03/2020
682,Rwanda,RWA,,,Africa,Introduction / extension of measures,Social distancing,Schools closure,No,,14/03/2020
692,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Health screenings in airports and border crossings,No,,14/03/2020
1824,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,General recommendations,No,,15/03/2020
1825,Rwanda,RWA,,,Africa,Introduction / extension of measures,Social distancing,Schools closure,No,,17/03/2020
1827,Rwanda,RWA,,,Africa,Introduction / extension of measures,Public health measures,Introduction of isolation and quarantine policies,No,,19/03/2020
1826,Rwanda,RWA,,,Africa,Introduction / extension of measures,Movement restrictions,International flights suspension,No,,20/03/2020
1829,Rwanda,RWA,,,Africa,Introduction / extension of measures,Movement restrictions,Border closure,No,,20/03/2020
1830,Rwanda,RWA,,,Africa,Introduction / extension of measures,Social distancing,Limit public gatherings,Yes,,20/03/2020
1828,Rwanda,RWA,,,Africa,Introduction / extension of measures,Lockdown,Partial lockdown,No,,21/03/2020
2495,Rwanda,RWA,,,Africa,Introduction / extension of measures,Movement restrictions,Domestic travel restrictions,No,,23/03/2020
2896,Saint Kitts and Nevis,KNA,,,Americas,Introduction / extension of measures,Governance and socio-economic measures,Emergency administrative structures activated or established,Yes,Not applicable,09/03/2020
