,Country Code,Country Name,Population,Density,,,,Country/Region,,,
126,LAC,Latin America & Caribbean (excluding high income),609013934,32.02146146,,,,Rwanda,,Rwanda,
127,LAO,Lao PDR,7061507,30.59578423,,,,Saint Lucia,,#N/A,131
128,LBN,Lebanon,6848925,669.4941349,,,,Saint Vincent and the Grenadines,,#N/A,251
129,LBR,Liberia,4818977,50.03090739,,,,San Marino,,San Marino,
130,LBY,Libya,6678567,3.795632381,,,,Saudi Arabia,,Saudi Arabia,
131,LCA,St. Lucia,181889,298.1786885,,,,Senegal,,Senegal,
132,LCN,Latin America & Caribbean,641357515,32.00573337,,,,Serbia,,Serbia,
133,LDC,Least developed countries: UN classification,1009662578,56.8413289,,,,Seychelles,,Seychelles,
134,LIC,Low income,705417321,51.67373831,,,,Singapore,,Singapore,
135,LIE,Liechtenstein,37910,236.9375,,,,Slovakia,,#N/A,219
136,LKA,Sri Lanka,21670000,345.558922,,,,Slovenia,,Slovenia,
137,LMC,Lower middle income,3022905169,150.0815182,,,,Somalia,,Somalia,
138,LMY,Low & middle income,6383958209,69.24159606,,,,South Africa,,South Africa,
139,LSO,Lesotho,2108132,69.43781291,,,,Spain,,Spain,
140,LTE,Late-demographic dividend,2288665963,51.40872056,,,,Sri Lanka,,Sri Lanka,
141,LTU,Lithuania,2789533,44.53135138,,,,Sudan,,Sudan,
142,LUX,Luxembourg,607728,250.0938272,,,,Suriname,,Suriname,
143,LVA,Latvia,1926542,30.98330653,,,,Sweden,,Sweden,
144,MAC,"Macao SAR, China",631636,20777.50026,,,,Switzerland,,Switzerland,
145,MAF,St. Martin (French part),37264,,,,,Taiwan*,,#N/A,
146,MAR,Morocco,36029138,80.72851893,,,,Tanzania,,Tanzania,
147,MCO,Monaco,38682,,,,,Thailand,,Thailand,
148,MDA,Moldova,3545883,123.5198035,,,,The Bahamas,,#N/A,21
149,MDG,Madagascar,26262368,45.13985562,,,,The Gambia,,#N/A,84
150,MDV,Maldives,515696,1718.986667,,,,Togo,,Togo,
151,MEA,Middle East & North Africa,448912859,39.99770291,,,,Trinidad and Tobago,,Trinidad and Tobago,
152,MEX,Mexico,126190788,64.91462641,,,,Tunisia,,Tunisia,
153,MHL,Marshall Islands,58413,324.5166667,,,,Turkey,,Turkey,
154,MIC,Middle income,5678540888,72.29486998,,,,US,,US,
155,MKD,North Macedonia,2082958,82.59151467,,,,Ukraine,,Ukraine,
156,MLI,Mali,19077690,15.63501586,,,,United Arab Emirates,,United Arab Emirates,
157,MLT,Malta,483530,1511.03125,,,,United Kingdom,,United Kingdom,
158,MMR,Myanmar,53708395,82.23861548,,,,Uruguay,,Uruguay,
159,MNA,Middle East & North Africa (excluding high income),382896715,44.31116946,,,,Uzbekistan,,Uzbekistan,
160,MNE,Montenegro,622345,46.27100372,,,,Venezuela,,#N/A,252
161,MNG,Mongolia,3170208,2.040608667,,,,Vietnam,,Vietnam,
162,MNP,Northern Mariana Islands,56882,123.6565217,,,,Zambia,,Zambia,
163,MOZ,Mozambique,29495962,37.50853531,,,,,,,
164,MRT,Mauritania,4403319,4.272163578,,,,,,,
165,MUS,Mauritius,1265303,623.3019704,,,,,,,
166,MWI,Malawi,18143315,192.4407616,,,,,,,
167,MYS,Malaysia,31528585,95.96282149,,,,,,,
168,NAC,North America,364290258,19.97097624,,,,,,,
169,NAM,Namibia,2448255,2.973745582,,,,,,,
170,NCL,New Caledonia,284060,15.53938731,,,,,,,
171,NER,Niger,22442948,17.71765059,,,,,,,
172,NGA,Nigeria,195874740,215.064989,,,,,,,
173,NIC,Nicaragua,6465513,53.72704836,,,,,,,
174,NLD,Netherlands,17231017,511.4579104,,,,,,,
175,NOR,Norway,5314336,14.55491954,,,,,,,
176,NPL,Nepal,28087871,195.9391071,,,,,,,
177,NRU,Nauru,12704,635.2,,,,,,,
178,NZL,New Zealand,4885500,18.55417569,,,,,,,
179,OED,OECD members,1303529456,37.80923456,,,,,,,
180,OMN,Oman,4829483,15.6041454,,,,,,,
181,OSS,Other small states,30758989,15.13861641,,,,,,,
182,PAK,Pakistan,212215030,275.2893187,,,,,,,
183,PAN,Panama,4176873,56.18607748,,,,,,,
184,PER,Peru,31989256,24.99160625,,,,,,,
185,PHL,Philippines,106651922,357.6883053,,,,,,,
186,PLW,Palau,17907,38.92826087,,,,,,,
187,PNG,Papua New Guinea,8606316,19.00436338,,,,,,,
188,POL,Poland,37978548,124.0358862,,,,,,,
189,PRE,Pre-demographic dividend,919485393,51.68744002,,,,,,,
190,PRI,Puerto Rico,3195153,360.2201804,,,,,,,
191,PRK,"Korea, Dem. People’s Rep.",25549819,212.1901752,,,,,,,
192,PRT,Portugal,10281762,112.2394535,,,,,,,
193,PRY,Paraguay,6956071,17.50835892,,,,,,,
194,PSE,West Bank and Gaza,4569087,758.9845515,,,,,,,
195,PSS,Pacific island small states,2457367,38.27674455,,,,,,,
196,PST,Post-demographic dividend,1109997273,35.26748894,,,,,,,
197,PYF,French Polynesia,277679,75.86857923,,,,,,,
198,QAT,Qatar,2781677,239.5931955,,,,,,,
199,ROU,Romania,19473936,84.63984701,,,,,,,
200,RUS,Russian Federation,144478050,8.822079555,,,,,,,
201,RWA,Rwanda,12301939,498.6598703,,,,,,,
202,SAS,South Asia,1814388744,380.2471337,,,,,,,
203,SAU,Saudi Arabia,33699947,15.67665431,,,,,,,
204,SDN,Sudan,41801533,,,,,,,,
205,SEN,Senegal,15854360,82.34747832,,,,,,,
206,SGP,Singapore,5638676,7952.998418,,,,,,,
207,SLB,Solomon Islands,652858,23.32468739,,,,,,,
208,SLE,Sierra Leone,7650154,105.987171,,,,,,,
209,SLV,El Salvador,6420744,309.8814672,,,,,,,
210,SMR,San Marino,33785,563.0833333,,,,,,,
211,SOM,Somalia,15008154,23.9234769,,,,,,,
212,SRB,Serbia,6982084,79.83174022,,,,,,,
213,SSA,Sub-Saharan Africa (excluding high income),1078209758,50.75862834,,,,,,,
214,SSD,South Sudan,10975920,,,,,,,,
215,SSF,Sub-Saharan Africa,1078306520,50.76208431,,,,,,,
216,SST,Small states,40575321,16.22446282,,,,,,,
217,STP,Sao Tome and Principe,211028,219.8208333,,,,,,,
218,SUR,Suriname,575991,3.69225,,,,,,,
219,SVK,Slovak Republic,5447011,113.2905782,,,,,,,
220,SVN,Slovenia,2067372,102.6398595,,,,,,,
221,SWE,Sweden,10183175,25.00104343,,,,,,,
222,SWZ,Eswatini,1136191,66.05761628,,,,,,,
223,SXM,Sint Maarten (Dutch part),40654,,,,,,,,
224,SYC,Seychelles,96762,210.3521739,,,,,,,
225,SYR,Syrian Arab Republic,16906283,92.06710777,,,,,,,
226,TCA,Turks and Caicos Islands,37665,39.64736842,,,,,,,
227,TCD,Chad,15477751,12.29173364,,,,,,,
228,TEA,East Asia & Pacific (IDA & IBRD countries),2056064424,130.185453,,,,,,,
229,TEC,Europe & Central Asia (IDA & IBRD countries),459865205,20.01725666,,,,,,,
230,TGO,Togo,7889094,145.0467733,,,,,,,
231,THA,Thailand,69428524,135.8972068,,,,,,,
232,TJK,Tajikistan,9100837,65.57271417,,,,,,,
233,TKM,Turkmenistan,5850908,12.45059477,,,,,,,
